Islamic Emirate of Afghanistan|Kabul|40218234|48.08|652864|Pashto|UTC+4:30Solar Calendar|Unitary autocratic Islamic provisional government|Afghani
Republic of Albania|Tirana|2845955|98|28748|Albanian|UTC+1|Unitary parliamentary constitutional republic|Lek
People's Democratic Republic of Algeria|Algiers|44700000|17.7|2381741|Arabic|UTC+1|Unitary semi-presidential constitutional republic|Algerian dinar
Principality of Andorra|Andorra la Vella|77543|179.8|467.63|Catalan|UTC+01|Unitary parliamentary constitutional diarchy|Euro
Republic of Angola|Luanda|31127674|24.97|1246700|Portuguese|UTC+1|Unitary dominant-party presidential constitutional republic|Kwanza
Antigua and Barbuda|St. John's|97000|186|440|English|UTC-4|Unitary parliamentary constitutional monarchy|East Caribbean dollar
Argentine Republic|Buenos Aires|45605826|14.4|2780400|Spanish|UTC−3|Federal presidential constitutional republic|Argentine peso
Republic of Armenia|Yerevan|2963900|101.5|29743|Armenian|UTC+4|Unitary parliamentary republic|Dram
Commonwealth of Australia|Canberra|25917900|3.4|7692024|English|UTC+8; +9.5; +10|Federal parliamentary constitutional monarchy|Australian dollar
Republic of Austria|Vienna|8935112|106|83879|Austrian German|UTC+1|Federal parliamentary republic|Euro
Republic of Azerbaijan|Baku|10130100|115|86600|Azerbaijani|UTC+4|Unitary semi-presidential constitutional republic|Manat
Commonwealth of The Bahamas|Nassau|385637|25.21|13878|English|UTC−5|Unitary parliamentary constitutional monarchy|Bahamian dollar
Kingdom of Bahrain|Manama|1569446|1912.7|785.08|Arabic|UTC+3|Unitary Islamic semi-constitutional monarchy|Bahraini dinar
People's Republic of Bangladesh|Dhaka|161376708|1106|148460|Bengali|UTC+6|Unitary dominant-party parliamentary constitutional republic|Taka
Barbados|Bridgetown|287025|660|439|English|UTC−4|Unitary parliamentary constitutional republic|Barbadian dollar
Republic of Belarus|Minsk|9349645|45.8|207595|Belarusian|UTC+3|Unitary presidential republic under a dictatorship|Belarusian ruble
Kingdom of Belgium|Brussels|11492641|376|30689|Dutch|UTC+1|Federal parliamentary constitutional monarchy|Euro
Belize|Belmopan|419199|17.79|22966|English|UTC-6|Unitary parliamentary constitutional monarchy|Belize dollar
Republic of Benin|Porto-Novo|11733059|94.8|114763|French|UTC+1|Unitary presidential republic|West African CFA franc
Kingdom of Bhutan|Thimphu|754388|19.3|38394|Dzongkha|UTC+06|Unitary parliamentary semi-constitutional monarchy|Ngultrum
Plurinational State of Bolivia|Sucre|11428245|10.4|1098581|Spanish|UTC−4|Unitary presidential constitutional republic|Boliviano
Bosnia and Herzegovina|Sarajevo|3824782|69|51129||UTC+01|Federal parliamentary constitutional republic|Convertible mark
Republic of Botswana|Gaborone|2254068|3.7|581730|Setswana|Central Africa Time|Unitary dominant-party   parliamentary republic with an executive presidency|Pula
Federative Republic of Brazil|Brasília|210147125|25|8515767|Portuguese|UTC−2 to −5|Federal presidential constitutional republic|Real
Nation of Brunei, the Abode of Peace|Bandar Seri Begawan|460345|72.11|5765|Malay|UTC+8|Unitary Islamic absolutemonarchy|Brunei dollar
Republic of Bulgaria|Sofia|6875040|63|110993.6|Bulgarian|UTC+2|Unitary parliamentary republic|Lev
Burkina Faso|Ouagadougou|21510181|64|274200|French|UTC|Unitary semi-presidential constitutional republic|West African CFA franc
Republic of Burundi|Gitega|11865821|401.6|27834|Kirundi|UTC+2|Unitary dominant-party presidential constitutional republic|Burundian franc
Kingdom of Cambodia|Phnom Penh|15552211|87|181035|Khmer|UTC+7|Unitary parliamentary elective constitutional monarchy under a dominant-party authoritarian dictatorship|Riel
Republic of Cameroon|Yaoundé|26545864|39.7|475442|French|UTC+1|Unitary semi-presidential constitutional republic under a dominant-party authoritarian dictatorship|Central African CFA franc
Canada|Ottawa|38436447|3.92|9984670|English|UTC−3.5 to −8|Federal parliamentary constitutional monarchy|Canadian dollar
Republic of Cabo Verde|Praia|483628|123.7|4033|Portuguese|UTC–1|Unitary semi-presidential republic|Cape Verdean escudo
Central African Republic|Bangui|4666368|7.1|622984|French|UTC+1|Unitary semi-presidential constitutional republic|Central African CFA franc
Republic of Chad|N'Djamena|16244513|8.6|1284000|Arabic|UTC+1|Unitary provisional government under a military junta|Central African CFA franc
Republic of Chile|Santiago|17574003|24|756096.3|Spanish|UTC−4 and −6|Unitary presidential constitutional republic|Chilean peso
People's Republic of China|Beijing|1411778724|145|9596961|Standard Chinese|UTC+8|Unitary Marxist–Leninist  one-party socialist republic|Renminbi
Republic of Colombia|Bogotá|50372424|42.23|1141748|Spanish|UTC−5|Unitary presidential constitutional republic|Colombian peso
Union of the Comoros|Moroni|850886|457|1861|Comorian|UTC+3|Federal presidential republic|Comorian franc
Democratic Republic of the Congo|Kinshasa|105044646|46.3|2345409|French|UTC+1 to +2|Unitary semi-presidential constitutional republic|Congolese franc
Republic of the Congo|Brazzaville|5657000|17|342000|French|UTC+1|Unitary dominant-party semi-presidential republic|Central African CFA franc
Republic of Costa Rica|San José|5094118|220/sq mi|51100|Spanish|UTC−6|Unitary presidential constitutional republic|Costa Rican colón
Republic of Croatia|Zagreb|3901165|73|56594|Croatian|UTC+1|Unitary parliamentary constitutional republic|Kuna
Republic of Cuba|Havana|11181595|101.8|109884|Spanish|UTC−5|Unitary Marxist–Leninist one-party socialist republic|Cuban peso
Republic of Cyprus|Nicosia|1189265|123.4|9251|Greek|UTC+2|Unitary presidential constitutional republic|Euro
Czech Republic|Prague|10701777|136|78871|Czech|UTC+1|Unitary parliamentary constitutional republic|Czech koruna
Kingdom of Denmark|Copenhagen|5958380|0|42926|Danish|List UTC+1   UTC   UTC-4 to 0|Devolved unitary parliamentary constitutional monarchy|Danish krone
Republic of Djibouti|Djibouti|921804|37.2|23200|French|UTC+3|Unitary presidential republic under a dominant-party authoritarian dictatorship|Djiboutian franc
Commonwealth of Dominica|Roseau|71625|105|750|English|UTC–4|Unitary dominant-party parliamentary republic|East Caribbean dollar
Dominican Republic|Santo Domingo|10878246|220|48671|Spanish|UTC  – 4:00|Unitary presidential republic|Dominican peso
Democratic Republic of|Dili|1340513|78|15007|Portuguese|UTC+9|Unitary semi-presidential constitutional republic|United States dollarb
Republic of Ecuador|Quito|17715822|67|283561|Spanish|UTC−5 / −6|Unitary presidential constitutional republic|United States dollarb
Arab Republic of Egypt|Cairo|102674145|102|1010408|Arabic|UTC+2|Unitary semi-presidential republic under an authoritarian dictatorship|Egyptian pound
Republic of El Salvador|San Salvador|6830000|324.4|21041|Spanish|UTC−6|Unitary presidential constitutional republic|United States dollar
Republic of Equatorial Guinea|Malabo|1468777|0|28050|Spanish|UTC+1|Unitary presidential republic under a de facto one-party authoritarian dictatorship|Central African CFA franc
State of Eritrea|Asmara|67000000|0|117600||UTC+3|Unitary one-party presidential republic|Nakfa
Republic of Estonia|Tallinn|1330068|30.9|45339|Estonian|UTC+02:00|Unitary parliamentary republic|Euro
Kingdom of Eswatini|Mbabane|1160164|66.8|17364|Swazi|UTC+2|Unitary absolute monarchy|Lilangeni
Federal Democratic Republic of Ethiopia|Addis Ababa|117876227|92.7|1104300|Afar|UTC+3|Ethnofederalist   parliamentary constitutional republic|Birr
Republic of Fiji|Suva|926276|46.4|18274|Fijian|UTC+12|Unitary parliamentary representative democratic republic|Fijian dollar
Republic of Finland|Helsinki|5536146|16|338455|Finnish|UTC+2|Unitary parliamentary republic|Euro
French Republic|Paris|67413000|104.7109|640679|French|UTC+1|Unitary semi-presidential constitutional republic|Euro
Gabonese Republic|Libreville|2119275|7.9|267667|French|UTC+1|Unitary dominant-party presidential republic|Central African CFA franc
